NOME_UNIDADE,NOME_DISCIPLINA,COD_TURMA,ITEM_TABELA,HR_INICIO,COD_DISCIPLINA,DIA_SEMANA,HR_FIM,TIPO_AULA,PERIODO_ITEM,ANO,DIA_SEMANA_ITEM,COD_ESTRUTURADO,CH_TOTAL,CREDITOS,PERIODO,COD_CURSO,NOME_SALA,DT_INICIO_PERIODO,DT_FIM_PERIODO,ID_TURMA,ESCOPO_ITEM,VAGAS_OCUPADAS,VAGAS_OFERECIDAS,VAGAS_AUMENTADAS,SITUACAO
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO A,01,5,18:00:00,ICC011,Quinta-feira,19:50:00,Prática,202,2015,5,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123385,3,23,40,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,CB01,2,16:00:00,ICC013,Segunda-feira,17:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE08,,08/09/2015,18/01/2016,122748,3,8,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,CB01,4,16:00:00,ICC013,Quarta-feira,17:50:00,Prática,202,2015,4,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE08,,08/09/2015,18/01/2016,122748,3,8,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,01,2,16:00:00,ICC013,Segunda-feira,17:50:00,Prática,202,2015,2,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123392,1,1,20,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LABORATÓRIO DE PROGRAMAÇÃO C,01,4,16:00:00,ICC013,Quarta-feira,17:50:00,Prática,202,2015,4,1.70.01.00.00.00.00.00,60,2, 2° Semestre,IE15,,08/09/2015,18/01/2016,123392,1,1,20,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I,01,3,16:00:00,ICC030,Terça-feira,17:50:00,Teórica,202,2015,3,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,128369,1,13,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,TÓPICOS ESPECIAIS EM PROGRAMAÇÃO I,01,5,16:00:00,ICC030,Quinta-feira,17:50:00,Teórica,202,2015,5,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE15,,08/09/2015,18/01/2016,128369,1,13,15,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB01,2,08:00:00,ICC040,Segunda-feira,09:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 104/105,08/09/2015,18/01/2016,122750,1,45,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB01,4,08:00:00,ICC040,Quarta-feira,09:50:00,Teórica,202,2015,4,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,ICE - TÉRREO - BL.6 SALA DE AULA 104/105,08/09/2015,18/01/2016,122750,1,45,50,0,Matrícula
Coord. Acadêmica do Instituto de Computação,LINGUAGENS FORMAIS E AUTÔMATOS,CB02,2,10:00:00,ICC040,Segunda-feira,11:50:00,Teórica,202,2015,2,1.70.01.00.00.00.00.00,60,4, 2° Semestre,IE08,,08/09/2015,18/01/2016,122762,3,10,5,6,Matrícula
